pl_name,pl_letter,hostname,gaia_id,disc_locale,ra,dec,pl_orbper,st_spectype,pl_rade,pl_masse,st_lum,sy_dist,sky_coord.ra,sky_coord.dec
HD 46375 b,Unknown,Unknown,Unknown,Ground,98.3030763,5.4625071,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,98.3030763,5.4625071
HD 47186 b,Unknown,Unknown,Unknown,Ground,99.0367212,-27.6234285,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,99.0367212,-27.6234285
HD 47186 c,Unknown,Unknown,Unknown,Ground,99.0367212,-27.6234285,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,99.0367212,-27.6234285
HD 4732 b,Unknown,Unknown,Unknown,Ground,12.3085089,-24.1369079,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,12.3085089,-24.1369079
HD 4732 c,Unknown,Unknown,Unknown,Ground,12.3085089,-24.1369079,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,12.3085089,-24.1369079
HD 47366 b,Unknown,Unknown,Unknown,Ground,99.4200181,-12.9856593,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,99.4200181,-12.9856593
HD 47366 c,Unknown,Unknown,Unknown,Ground,99.4200181,-12.9856593,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,99.4200181,-12.9856593
HD 47536 b,Unknown,Unknown,Unknown,Ground,99.448958,-32.3394531,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,99.448958,-32.3394531
HD 4760 b,Unknown,Unknown,Unknown,Ground,12.4161652,6.4071412,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,12.4161652,6.4071412
HD 48265 b,Unknown,Unknown,Unknown,Ground,100.0073683,-48.54182840000001,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,100.0073683,-48.54182840000001
HD 48948 b,Unknown,Unknown,Unknown,Ground,102.489811,60.3373133,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,102.489811,60.3373133
HD 48948 c,Unknown,Unknown,Unknown,Ground,102.489811,60.3373133,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,102.489811,60.3373133
HD 48948 d,Unknown,Unknown,Unknown,Ground,102.489811,60.3373133,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,102.489811,60.3373133
HD 4917 b,Unknown,Unknown,Unknown,Ground,12.7762624,-12.9276648,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,12.7762624,-12.9276648
HD 49674 b,Unknown,Unknown,Unknown,Ground,102.8773483,40.8672284,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,102.8773483,40.8672284
HD 50499 b,Unknown,Unknown,Unknown,Ground,103.008075,-33.915267,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,103.008075,-33.915267
HD 50499 c,Unknown,Unknown,Unknown,Ground,103.008075,-33.915267,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,103.008075,-33.915267
HD 50554 b,Unknown,Unknown,Unknown,Ground,103.678273,24.2451409,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,103.678273,24.2451409
HD 51608 b,Unknown,Unknown,Unknown,Ground,103.7137102,-55.2600189,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,103.7137102,-55.2600189
HD 51608 c,Unknown,Unknown,Unknown,Ground,103.7137102,-55.2600189,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,103.7137102,-55.2600189
HD 52265 b,Unknown,Unknown,Unknown,Ground,105.0746449,-5.3668142,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,105.0746449,-5.3668142
HD 5278 b,Unknown,Unknown,Unknown,Ground,12.5467785,-83.7437671,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,12.5467785,-83.7437671
HD 5278 c,Unknown,Unknown,Unknown,Ground,12.5467785,-83.7437671,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,12.5467785,-83.7437671
HD 5319 b,Unknown,Unknown,Unknown,Ground,13.755809599999997,0.7893425,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,13.755809599999997,0.7893425
HD 5319 c,Unknown,Unknown,Unknown,Ground,13.7558096,0.7893425,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,13.7558096,0.7893425
HD 55696 b,Unknown,Unknown,Unknown,Ground,108.0622029,-38.174639,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,108.0622029,-38.174639
HD 5583 b,Unknown,Unknown,Unknown,Ground,14.486946,34.9853306,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,14.486946,34.9853306
HD 5608 b,Unknown,Unknown,Unknown,Ground,14.5594349,33.9505774,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,14.5594349,33.9505774
HD 564 b,Unknown,Unknown,Unknown,Ground,2.4694459,-50.2678998,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,2.4694459,-50.2678998
HD 56414 b,Unknown,Unknown,Unknown,Ground,107.8436846,-68.8333403,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,107.8436846,-68.8333403
HD 56957 b,Unknown,Unknown,Unknown,Ground,109.3253986,-40.6560651,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,109.3253986,-40.6560651
HD 5891 b,Unknown,Unknown,Unknown,Ground,15.1383168,20.2923139,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,15.1383168,20.2923139
HD 59686 A b,Unknown,Unknown,Unknown,Ground,112.9518629,17.0857195,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,112.9518629,17.0857195
HD 60292 b,Unknown,Unknown,Unknown,Ground,114.6201698,66.2350517,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,114.6201698,66.2350517
HD 60532 b,Unknown,Unknown,Unknown,Ground,113.5130656,-22.2958661,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,113.5130656,-22.2958661
HD 60532 c,Unknown,Unknown,Unknown,Ground,113.5130656,-22.2958661,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,113.5130656,-22.2958661
HD 6061 b,Unknown,Unknown,Unknown,Ground,15.5981441,37.1854394,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,15.5981441,37.1854394
HD 62364 b,Unknown,Unknown,Unknown,Ground,113.9052658,-75.5442707,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,113.9052658,-75.5442707
HD 62364 c,Unknown,Unknown,Unknown,Ground,113.9052658,-75.5442707,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,113.9052658,-75.5442707
HD 62509 b,Unknown,Unknown,Unknown,Ground,116.328824,28.026127,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,116.328824,28.026127
HD 62549 b,Unknown,Unknown,Unknown,Ground,116.0821439,-5.0541223,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,116.0821439,-5.0541223
HD 63433 b,Unknown,Unknown,Unknown,Ground,117.4793699,27.3631342,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.4793699,27.3631342
HD 63433 c,Unknown,Unknown,Unknown,Ground,117.47936990000001,27.3631342,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.47936990000001,27.3631342
HD 63433 d,Unknown,Unknown,Unknown,Ground,117.4793699,27.3631342,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.4793699,27.3631342
HD 63454 b,Unknown,Unknown,Unknown,Ground,114.8406393,-78.2791464,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,114.8406393,-78.2791464
HD 63765 b,Unknown,Unknown,Unknown,Ground,116.9582617,-54.265345,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,116.9582617,-54.265345
HD 63935 b,Unknown,Unknown,Unknown,Ground,117.9246417,9.3852412,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.9246417,9.3852412
HD 63935 c,Unknown,Unknown,Unknown,Ground,117.9246417,9.3852412,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.9246417,9.3852412
HD 64114 b,Unknown,Unknown,Unknown,Ground,117.982556,-11.0337221,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.982556,-11.0337221
HD 64121 b,Unknown,Unknown,Unknown,Ground,117.3651424,-54.8126136,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,117.3651424,-54.8126136
HD 6434 b,Unknown,Unknown,Unknown,Ground,16.1663441,-39.4904909,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,16.1663441,-39.4904909
HD 65216 b,Unknown,Unknown,Unknown,Ground,118.4209646,-63.6466892,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,118.4209646,-63.6466892
HD 65216 c,Unknown,Unknown,Unknown,Ground,118.4209646,-63.6466892,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,118.4209646,-63.6466892
HD 66141 b,Unknown,Unknown,Unknown,Ground,120.5662825,2.3350265,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,120.5662825,2.3350265
HD 66428 b,Unknown,Unknown,Unknown,Ground,120.8691654,-1.1636019,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,120.8691654,-1.1636019
HD 66428 c,Unknown,Unknown,Unknown,Ground,120.8691654,-1.1636019,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,120.8691654,-1.1636019
HD 67087 b,Unknown,Unknown,Unknown,Ground,121.9155672,31.5511553,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,121.9155672,31.5511553
HD 67087 c,Unknown,Unknown,Unknown,Ground,121.9155672,31.5511553,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,121.9155672,31.5511553
HD 6718 b,Unknown,Unknown,Unknown,Ground,16.9536005,-8.2336165,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,16.9536005,-8.2336165
HD 68402 b,Unknown,Unknown,Unknown,Ground,121.3474609,-74.4100732,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,121.3474609,-74.4100732
HD 6860 b,Unknown,Unknown,Unknown,Ground,17.432979,35.620499,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,17.432979,35.620499
HD 68988 b,Unknown,Unknown,Unknown,Ground,124.5935429,61.4608518,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,124.5935429,61.4608518
HD 68988 c,Unknown,Unknown,Unknown,Ground,124.5935429,61.4608518,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,124.5935429,61.4608518
HD 69123 b,Unknown,Unknown,Unknown,Ground,123.55499,-35.4899246,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,123.55499,-35.4899246
HD 69830 b,Unknown,Unknown,Unknown,Ground,124.6010091,-12.6364246,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,124.6010091,-12.6364246
HD 69830 c,Unknown,Unknown,Unknown,Ground,124.6010091,-12.6364246,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,124.6010091,-12.6364246
HD 69830 d,Unknown,Unknown,Unknown,Ground,124.6010091,-12.6364246,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,124.6010091,-12.6364246
HD 70573 b,Unknown,Unknown,Unknown,Ground,125.7079153,1.8591088,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,125.7079153,1.8591088
HD 70642 b,Unknown,Unknown,Unknown,Ground,125.3661079,-39.7044432,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,125.3661079,-39.7044432
HD 7199 b,Unknown,Unknown,Unknown,Ground,17.6979344,-66.1886947,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,17.6979344,-66.1886947
HD 72490 b,Unknown,Unknown,Unknown,Ground,128.4028287,13.5507189,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,128.4028287,13.5507189
HD 72659 b,Unknown,Unknown,Unknown,Ground,128.5128072,-1.5686323,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,128.5128072,-1.5686323
HD 72659 c,Unknown,Unknown,Unknown,Ground,128.5128072,-1.5686323,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,128.5128072,-1.5686323
HD 72892 b,Unknown,Unknown,Unknown,Ground,128.7195554,-14.4574311,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,128.7195554,-14.4574311
HD 73256 c,Unknown,Unknown,Unknown,Ground,129.0949961,-30.0373339,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.0949961,-30.0373339
HD 73267 b,Unknown,Unknown,Unknown,Ground,129.0735123,-34.4594469,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,129.0735123,-34.4594469
