Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
201,TOI-1691 b,TOI-1691,272.4041179,86.860343,9.97302,111.445
202,11 Com b,11 Com,185.1787793,17.7932516,4.44038,93.1846
203,HD 159868 b,HD 159868,264.7466665,-43.1462347,7.04579,55.8503
204,HATS-55 b,HATS-55,114.2833819,-32.7554188,13.3498,609.838
205,TOI-2796 b,TOI-2796,84.1527191,0.8962788,12.3642,350.343
206,TOI-5301 b,TOI-5301,12.9908008,13.0783712,11.5696,629.161
207,NGTS-8 b,NGTS-8,328.9759206,-14.0684399,13.4954,428.976
208,TOI-1859 b,TOI-1859,279.8317644,69.5228726,10.2843,224.385
209,TOI-1669 c,TOI-1669,45.9564744,83.5874273,10.0089,111.276
210,TOI-5205 b,TOI-5205,313.7706819,24.360977,14.9317,86.4493
211,TOI-1836 b,TOI-1836,245.9079242,54.6900774,9.64482,191.649
212,TOI-3629 b,TOI-3629,359.7933851,39.3142556,13.8375,130.091
213,TOI-5616 b,TOI-5616,184.9016378,48.6832895,15.6306,390.415
214,NGTS-21 b,NGTS-21,311.2583112,-35.4278412,15.224,592.891
215,TOI-1408 c,TOI-1408,313.5110469,72.5806455,9.18795,139.484
216,TOI-3807 b,TOI-3807,139.1125648,69.0741284,12.0338,421.745
217,TOI-1516 b,TOI-1516,340.0846204,69.5037313,10.7156,247.054
218,NGTS-16 b,NGTS-16,58.2639299,-30.8046405,14.2311,898.168
219,NGTS-23 b,NGTS-23,70.4322947,-40.0445299,13.9535,1074.95
220,NGTS-13 b,NGTS-13,176.2402326,-38.1397158,12.5691,647.595
221,TOI-2096 b,TOI-2096,151.6186989,74.8272107,14.7736,48.4809
222,Qatar-9 b,Qatar-9,160.748095,60.9641194,13.6871,213.771
223,NGTS-18 b,NGTS-18,180.5462193,-35.5486091,14.3896,1096.19
224,HD 23472 e,HD 23472,55.4590314,-62.7672667,9.38476,39.0341
225,TOI-2587 A b,TOI-2587 A,115.9317105,-1.073333,11.4079,373.675
226,TOI-4463 A b,TOI-4463 A,279.3581286,18.7299522,10.9505,173.117
227,HD 23472 b,HD 23472,55.4590314,-62.7672667,9.38476,39.0341
228,GJ 143 b,GJ 143,51.7501882,-63.500166,7.67906,16.32
229,TOI-5803 b,TOI-5803,327.2487497,6.2781777,10.4782,84.0126
230,HD 213885 c,HD 213885,338.9837166,-59.864829,7.80173,48.0883
231,TOI-1853 b,TOI-1853,211.4593468,16.9923703,11.9474,165.105
232,TOI-2000 c,TOI-2000,146.3970631,-66.6866307,10.8542,175.713
233,WASP-124 b,WASP-124,332.7143373,-30.7497189,12.5754,448.637
234,WASP-25 b,WASP-25,195.3597581,-27.5222273,11.6885,211.416
235,TOI-125 b,TOI-125,23.5934253,-66.6763495,10.718,111.059
236,WASP-56 b,WASP-56,183.3660401,23.055687,12.0028,321.084
237,HATS-70 b,HATS-70,109.1045212,-31.2443947,12.586,1458.83
238,GJ 436 b,GJ 436,175.5505363,26.7030669,9.57148,9.75321
239,WASP-1 b,WASP-1,5.1669536,31.9899732,11.5349,393.072
240,WASP-153 b,WASP-153,279.2624729,40.0186905,12.4967,610.176
241,HAT-P-20 b,HAT-P-20,111.9164295,24.3361185,10.9903,71.0374
242,Teegarden's Star b,Teegarden's Star,43.2691449,16.8649024,12.2746,3.83078
243,Teegarden's Star c,Teegarden's Star,43.2691449,16.8649024,12.2746,3.83078
244,WASP-13 b,WASP-13,140.1029654,33.8823291,10.38,227.537
245,TrES-1 b,TrES-1,286.0408755,36.632536,11.5565,159.658
246,XO-5 b,XO-5,116.7163868,39.0944695,11.9498,276.211
247,55 Cnc d,55 Cnc,133.1468373,28.3298154,5.72973,12.5855
248,55 Cnc e,55 Cnc,133.1468373,28.3298154,5.72973,12.5855
249,WASP-140 b,WASP-140,60.3855387,-20.4509991,10.8202,117.598
250,eps CrB b,eps CrB,239.3965057,26.8776171,3.75773,69.8683
251,WASP-160 B b,WASP-160 B,87.679561,-27.6233218,12.8842,288.326
252,Kepler-41 b,Kepler-41,294.5132465,45.9816453,14.413,1093.08
253,KOI-94 b,KOI-94,297.3330716,41.8911186,12.1882,477.052
254,HD 173416 b,HD 173416,280.9005676,36.556857,5.75681,132.184
255,HD 37605 c,HD 37605,85.0074276,6.0595116,8.46192,46.7864
256,nu Oph c,nu Oph,269.7566013,-9.7741342,3.09653,46.2107
257,TOI-1273 b,TOI-1273,214.1208564,58.3902534,10.8662,177.118
258,55 Cnc b,55 Cnc,133.1468373,28.3298154,5.72973,12.5855
259,HD 23472 f,HD 23472,55.4590314,-62.7672667,9.38476,39.0341
260,55 Cnc c,55 Cnc,133.1468373,28.3298154,5.72973,12.5855
261,HAT-P-15 b,HAT-P-15,66.248142,39.460602,11.7232,192.516
262,WASP-2 b,WASP-2,307.7255587,6.4293305,11.5638,153.242
263,HAT-P-4 b,HAT-P-4,229.99122,36.229545,11.0634,320.451
264,MASCARA-4 b,MASCARA-4,147.5800667,-66.1139253,8.17401,170.696
265,WASP-58 b,WASP-58,274.7012534,45.1722194,11.6347,290.404
266,HAT-P-36 b,HAT-P-36,188.2662048,44.9153672,12.093,294.419
267,HAT-P-52 b,HAT-P-52,42.7217412,29.0222492,13.787,361.155
268,HAT-P-5 b,HAT-P-5,274.4055335,36.6214617,11.8224,303.336
269,TOI-2497 b,TOI-2497,90.0625878,11.8840577,9.47244,285.289
270,TOI-2524 b,TOI-2524,160.8868435,-1.9126984,12.6225,438.842
271,TOI-5174 b,TOI-5174,174.1094967,-2.0233506,11.1031,197.243
272,TOI-2084 b,TOI-2084,259.2545389,72.7470231,14.4096,114.549
273,TOI-4377 b,TOI-4377,164.9324709,-82.2213501,11.4565,455.82
274,TOI-269 b,TOI-269,75.8462827,-54.1777213,13.4258,57.0225
275,HAT-P-17 b,HAT-P-17,324.5359781,30.4881882,10.2743,92.3831
276,KELT-19 A b,KELT-19 A,111.5095293,7.6157759,9.86331,300.276
